,number,county,state,lat,lng
109,2121,El Dorado County,California,38.74263759999999,-120.4357631
110,791,Greenville County,South Carolina,34.9297484,-82.34518899999999
111,9392,Okanogan County,Washington,48.58968309999999,-119.652214
112,3614,Oswego County,New York,43.482533,-76.17837390000001
113,2630,Steuben County,New York,42.321027,-77.3783789
114,5875,Carbon County,Wyoming,41.6032207,-106.912251
115,666,Deschutes County,Oregon,43.83251,-121.2616541
116,670,Hood River County,Oregon,45.5605475,-121.6378798
117,2076,La Porte County,Indiana,41.4775131,-86.8220341
118,2943,Oscoda County,Michigan,44.6278903,-84.1857115
119,2844,Shasta County,California,40.7908864,-121.8474493
120,2183,Tulare County,California,36.1341739,-118.8596804
121,822,St. Clair County,Michigan,43.016179,-82.6483442
122,2888,Ventura County,California,34.3704884,-119.1390642
123,1199,Berkshire County,Massachusetts,42.311782,-73.1821623
124,145,Chemung County,New York,42.1362071,-76.7798172
125,2351,Emery County,Utah,39.0738385,-110.7122465
126,3634,Erie County,Pennsylvania,42.0521954,-80.1875065
127,1522,Essex County,New York,44.0107408,-73.9507728
128,9426,Kern County,California,35.4937274,-118.8596804
129,2168,Wayne County,Indiana,39.831882,-84.981754
130,354,Monroe County,Indiana,39.1851445,-86.49965460000001
131,43588,Oscoda County,Michigan,44.6278903,-84.1857115
132,2843,Shasta County,California,40.7908864,-121.8474493
133,2758,Berks County,Pennsylvania,40.3451566,-75.9927652
134,4709,Erie County,Pennsylvania,42.0521954,-80.1875065
135,3625,Gila County,Arizona,33.6370567,-110.5215459
136,2467,Harrison County,Indiana,38.1701136,-86.17517590000001
137,767,Ogemaw County,Michigan,44.3270741,-84.1857115
138,1064,St. Louis County,Minnesota,47.7395106,-92.3623921
139,23615,Iredell County,North Carolina,35.8310501,-80.89865019999999
140,264,Kern County,California,35.4937274,-118.8596804
141,807,Livingston County,Michigan,42.6207951,-83.8473015
142,24673,Macoupin County,Illinois,39.2375268,-89.9253233
143,6875,Baltimore County,Maryland,39.4647665,-76.7336521
144,2784,Clearfield County,Pennsylvania,40.9519685,-78.5660852
145,2954,Del Norte County,California,41.7076287,-123.9659708
146,4945,Itasca County,Minnesota,47.5507924,-93.5683651
147,685,Lane County,Oregon,43.9610092,-122.6618227
148,417,Spartanburg County,South Carolina,34.860551,-81.9534815
149,1005,Wayne County,Pennsylvania,41.67388649999999,-75.2479061
150,3866,Erie County,Pennsylvania,42.0521954,-80.1875065
151,676,Jefferson County,Oregon,44.6673324,-121.1785788
152,1411,Teton County,Wyoming,43.853632,-110.6314491
