county,state,latitude,longitude,number
Oscoda County,Michigan,,,1211
Otero County,New Mexico,,,537
St. Lawrence County,New York,,,25631
Trinity County,California,,,533
Anne Arundel County,Maryland,,,3214
Anne Arundel County,Maryland,,,5297
Baltimore County,Maryland,,,2666
Cattaraugus County,New York,,,4589
Del Norte County,California,,,4845
Del Norte County,California,,,7702
Eagle County,Colorado,,,3636
Grafton County,New Hampshire,,,9009
Humboldt County,California,,,2755
Indiana County,Pennsylvania,,,3231
Shasta County,California,,,3029
Siskiyou County,California,,,3056
Tulare County,California,,,2431
Belknap County,New Hampshire,,,26113
Carter County,Tennessee,,,4736
Del Norte County,California,,,5383
Essex County,New York,,,7909
Grays Harbor County,Washington,,,25339
Monterey County,California,,,5463
Campbell County,Tennessee,,,7159
Custer County,South Dakota,,,19350
Fredrick County,Maryland,,,8451
Henderson County,Illinois,,,23983
Humboldt County,California,,,6520
Johnston County,Oklahoma,,,24512
Mason County,Michigan,,,44191
Ferry County,Washington,,,9286
Humboldt County,California,,,9439
Rensselaer County,New York,,,8187
Shoshone County,Idaho,,,7864
Stone County,Missouri,,,23581
Susquehanna County,Pennsylvania,,,8305
Chelan County,Washington,,,21659
Fleming County,Kentucky,,,25702
Grand Traverse County,Michigan,,,35616
Pierce County,Washington,,,32536
Siskiyou County,California,,,12405
Grays Harbor County,Washington,,,24898
Lamar County,Georgia,,,23808
Marion County,Arkansas,,,26750
Burlington County,New Jersey,,,23784
Franklin County,Alabama,,,25619
Ozaukee County,Wisconsin,,,23961
Warren County,Pennsylvania,,,23695
Coconino County,Arizona,,,24218
Grays Harbor County,Washington,,,23796
Marquette County,Michigan,,,34006
Missoula County,Montana,,,40170
Neosho County,Kansas,,,27779
Riverside County,California,,,24644
Sevier County,Tennessee,,,36205
Snohomish County,Washington,,,26448
Spalding County,Georgia,,,25346
Cherokee County,Georgia,,,25485
Clackamas County,Oregon,,,26497
Clay County,Minnesota,,,26095
Eagle County,Colorado,,,27075
Major County,Oklahoma,,,26943
Monroe County,Indiana,,,25658
Pierce County,Washington,,,26695
Winneshiek County,Iowa,,,25382
Coconino County,Arizona,,,32251
Fannin County,Texas,,,29315
Hockley County,Texas,,,41668
Keokuk County,Iowa,,,27895
Lamb County,Texas,,,41621
Monroe County,Tennessee,,,41290
Pierce County,Washington,,,28716
Pike County,Kentucky,,,34502
Prince William County,Virginia,,,27682
Siskiyou County,California,,,27819
Skagit County,Washington,,,28577
Winston County,Alabama,,,30680
Barry County,Michigan,,,32924
Burlington County,New Jersey,,,55552
Grand Traverse County,Michigan,,,32024
Pender County,North Carolina,,,30438
Pierce County,Washington,,,30783
Sabine County,Texas,,,33336
Anderson County,Tennessee,,,34260
Carroll County,Maryland,,,37558
Christian County,Illinois,,,39990
Curry County,Oregon,,,36671
Flagler County,Florida,,,46728
Grays Harbor County,Washington,,,40381
Isabella County,Michigan,,,31860
Kittitas County,Washington,,,36852
Le Flore County,Oklahoma,,,31986
Missoula County,Montana,,,34899
Montgomery County,Texas,,,35778
Morgan County,Indiana,,,44166
Roane County,Tennessee,,,35914
St. Louis County,Minnesota,,,44808
Kalkaska County,Michigan,,,44783
Lake County,Illinois,,,40314
Leelanau County,Michigan,,,47557
McKean County,Pennsylvania,,,3570
McKean County,Pennsylvania,,,46320
Missaukee County,Michigan,,,42351
Winston County,Alabama,,,43120
Franklin County,Missouri,,,46475
Hillsdale County,Michigan,,,43733
Kalkaska County,Michigan,,,46401
Lehigh County,Pennsylvania,,,43853
Lewis County,Washington,,,47107
Montgomery County,Texas,,,45616
Reynolds County,Missouri,,,46826
Tazewell County,Virginia,,,45604
Brevard County,Florida,,,48746
Clarke County,Alabama,,,49238
Iron County,Missouri,,,49919
Logan County,Kentucky,,,56202
Macon County,North Carolina,,,50721
Nicholas County,West Virginia,,,50469
Osage County,Oklahoma,,,49909
Washington County,Vermont,,,55476
Bingham County,Idaho,,,57872
Hillsborough County,New Hampshire,,,51934
Marinette County,Wisconsin,,,59799
Randolph County,West Virginia,,,55583
Skamania County,Washington,,,62449
Conway County,Arkansas,,,58768
Lewis County,Washington,,,57789
Maries County,Missouri,,,59532
